OID,X,Y,Data
0,-16.875,14.5,0.8286
1,-16.875,15,0.204
2,-16.875,21.5,0.2735
3,-16.875,22,0.8286
4,-16.25,11.5,0.4918
5,-16.25,12,0.2735
6,-16.25,12.5,0.2735
7,-16.25,13,0.8286
8,-16.25,13.5,0.9279
9,-16.25,14,0.9279
10,-16.25,14.5,0.7369
11,-16.25,15,-0.2735
12,-16.25,15.5,-0.5696
13,-16.25,16,-0.6509
14,-16.25,16.5,-0.5696
15,-16.25,17,-0.2735
16,-16.25,19.5,-0.1355
17,-16.25,20.5,0.9279
18,-16.25,21,0.9279
19,-16.25,21.5,0.6509
20,-16.25,22,0.7369
21,-16.25,22.5,0.9279
22,-16.25,28.5,1.4835
23,-15.625,11.5,0.4918
24,-15.625,12,0.3443
25,-15.625,12.5,0.2735
26,-15.625,13,0.4169
27,-15.625,13.5,0.6509
28,-15.625,14,1.0374
29,-15.625,14.5,0.4169
30,-15.625,15,-0.1355
31,-15.625,15.5,-0.5696
32,-15.625,16,-0.5696
33,-15.625,16.5,-0.6509
34,-15.625,17,-0.6509
35,-15.625,17.5,-0.8286
36,-15.625,18,-0.8286
37,-15.625,18.5,-0.6509
38,-15.625,19,-0.4918
39,-15.625,19.5,-0.4169
40,-15.625,20,0
41,-15.625,20.5,0.5696
42,-15.625,21,0.9279
43,-15.625,21.5,0.7369
44,-15.625,22,0.5696
45,-15.625,22.5,0.9279
46,-15.625,23,0.9279
47,-15.625,23.5,1.0374
48,-15.625,24,0.8286
49,-15.625,28,0.8286
50,-15,11,0.1355
51,-15,11.5,0.0676
52,-15,12,0.1355
53,-15,12.5,0.0676
54,-15,13,0.3443
55,-15,13.5,0.4918
56,-15,14,0.5696
57,-15,14.5,0.4169
58,-15,15,-0.2735
59,-15,15.5,-0.7369
60,-15,16,-0.8286
61,-15,16.5,-0.8286
62,-15,17,-0.9279
63,-15,17.5,-0.9279
64,-15,18,-0.9279
65,-15,18.5,-0.7369
66,-15,19,-0.5696
67,-15,19.5,-0.3443
68,-15,20,-0.204
69,-15,20.5,0.4169
70,-15,21,0.6509
71,-15,21.5,0.5696
72,-15,22,0.5696
73,-15,22.5,0.7369
74,-15,23,0.7369
75,-15,23.5,0.7369
76,-15,24,0.6509
77,-15,24.5,0.2735
78,-14.375,10.5,-0.4918
79,-14.375,11,-0.4169
80,-14.375,11.5,-0.204
81,-14.375,12,-0.1355
82,-14.375,12.5,-0.1355
83,-14.375,13,0.204
84,-14.375,13.5,0.3443
85,-14.375,14,0.4918
86,-14.375,14.5,0.2735
87,-14.375,15,-0.3443
88,-14.375,15.5,-1.1609
89,-14.375,16,-1.3052
90,-14.375,16.5,-1.3052
91,-14.375,17,-1.3052
92,-14.375,17.5,-0.9279
93,-14.375,18,-0.9279
94,-14.375,18.5,-0.7369
95,-14.375,19,-0.6509
96,-14.375,19.5,-0.3443
97,-14.375,20,-0.2735
98,-14.375,20.5,0.2735
99,-14.375,21,0.4918
100,-14.375,21.5,0.4918
101,-14.375,22,0.4918
102,-14.375,22.5,0.6509
103,-14.375,23,0.7369
104,-14.375,23.5,0.7369
105,-14.375,24,0.4169
106,-14.375,24.5,0.204
107,-14.375,25,0.8286
108,-14.375,25.5,1.1609
109,-14.375,26,1.4835
110,-13.75,9.5,-0.8286
111,-13.75,10,-0.8286
112,-13.75,10.5,-0.7369
113,-13.75,11,-0.7369
114,-13.75,11.5,-0.5696
115,-13.75,12,-0.4918
116,-13.75,12.5,-0.3443
117,-13.75,13,-0.0676
118,-13.75,13.5,0.204
119,-13.75,14,0.3443
120,-13.75,14.5,0.2735
121,-13.75,15,-0.4169
122,-13.75,15.5,-1.0374
123,-13.75,16,-1.3052
124,-13.75,16.5,-1.3052
125,-13.75,17,-1.4835
126,-13.75,17.5,-1.1609
127,-13.75,18,-1.1609
128,-13.75,18.5,-0.9279
129,-13.75,19,-0.5696
130,-13.75,19.5,-0.1355
131,-13.75,20,-0.0676
132,-13.75,20.5,-0.204
133,-13.75,21,0
134,-13.75,21.5,0.204
135,-13.75,22,0.4169
136,-13.75,22.5,0.6509
137,-13.75,23,0.6509
138,-13.75,23.5,0.7369
139,-13.75,24,0.3443
140,-13.75,24.5,0
141,-13.75,25,0.5696
142,-13.75,25.5,1.0374
143,-13.75,26,1.3052
144,-13.75,26.5,1.3052
145,-13.75,29,0.9279
146,-13.125,8.5,-0.8286
147,-13.125,9,-0.8286
148,-13.125,9.5,-0.9279
149,-13.125,10,-0.9279
150,-13.125,10.5,-0.9279
151,-13.125,11,-0.9279
152,-13.125,11.5,-0.8286
153,-13.125,12,-0.5696
154,-13.125,12.5,-0.4918
155,-13.125,13,-0.204
156,-13.125,13.5,0.1355
157,-13.125,14,0.2735
158,-13.125,14.5,0.204
159,-13.125,15,-0.4918
160,-13.125,15.5,-1.4835
161,-13.125,16,-1.7276
162,-13.125,16.5,-1.7276
163,-13.125,17,-1.4835
164,-13.125,17.5,-1.4835
165,-13.125,18,-1.1609
166,-13.125,18.5,-1.0374
167,-13.125,19,-0.9279
168,-13.125,19.5,-0.6509
169,-13.125,20,-0.4918
170,-13.125,20.5,-0.4918
171,-13.125,21,-0.3443
172,-13.125,21.5,0.1355
173,-13.125,22,0.2735
174,-13.125,22.5,0.5696
175,-13.125,23,0.8286
176,-13.125,23.5,0.7369
177,-13.125,24,0.2735
178,-13.125,24.5,0
179,-13.125,25,0.2735
180,-13.125,25.5,0.6509
181,-13.125,26,0.7369
182,-13.125,26.5,0.8286
183,-13.125,27,1.0374
184,-13.125,27.5,0.9279
185,-12.5,7.5,-0.6509
186,-12.5,8,-0.9279
187,-12.5,8.5,-0.9279
188,-12.5,9,-0.9279
189,-12.5,9.5,-0.9279
190,-12.5,10,-0.9279
191,-12.5,10.5,-0.6509
192,-12.5,11,-0.4169
193,-12.5,11.5,-0.2735
194,-12.5,12,-0.4169
195,-12.5,12.5,-0.8286
196,-12.5,13,-0.9279
197,-12.5,13.5,-0.8286
198,-12.5,14,-0.6509
199,-12.5,14.5,-0.204
200,-12.5,15,-1.3052
201,-12.5,15.5,-1.7276
202,-12.5,16,-1.7276
203,-12.5,16.5,-1.7276
204,-12.5,17,-1.4835
205,-12.5,17.5,-1.3052
206,-12.5,18,-1.0374
207,-12.5,18.5,-0.9279
208,-12.5,19,-0.9279
209,-12.5,19.5,-1.1609
210,-12.5,20,-1.0374
211,-12.5,20.5,-1.0374
212,-12.5,21,-0.6509
213,-12.5,21.5,0.3443
214,-12.5,22,0.4918
215,-12.5,22.5,0.4918
216,-12.5,23,0.204
217,-12.5,23.5,0.1355
218,-12.5,24,-0.204
219,-12.5,24.5,-0.3443
220,-12.5,25,-0.0676
221,-12.5,25.5,0.2735
222,-12.5,26,0.3443
223,-12.5,26.5,0.3443
224,-12.5,27,0.5696
225,-12.5,27.5,0.6509
226,-12.5,28,0.9279
227,-11.875,7.5,-0.7369
228,-11.875,8,-0.7369
229,-11.875,8.5,-0.7369
230,-11.875,9,-0.7369
231,-11.875,9.5,-0.7369
232,-11.875,10,-0.8286
233,-11.875,10.5,-0.5696
234,-11.875,11,-0.4169
235,-11.875,11.5,-0.4169
236,-11.875,12,-0.4918
237,-11.875,12.5,-0.9279
238,-11.875,13,-1.4835
239,-11.875,13.5,-1.3052
240,-11.875,14,-1.3052
241,-11.875,14.5,-1.1609
242,-11.875,15,-2.1678
243,-11.875,15.5,-2.1678
244,-11.875,16,-1.7276
245,-11.875,16.5,-1.7276
246,-11.875,17,-1.4835
247,-11.875,17.5,-0.7369
248,-11.875,18,-0.6509
249,-11.875,18.5,-0.4918
250,-11.875,19,-0.7369
251,-11.875,19.5,-1.1609
252,-11.875,20,-1.1609
253,-11.875,20.5,-1.0374
254,-11.875,21,-0.8286
255,-11.875,21.5,-0.0676
256,-11.875,22,0.5696
257,-11.875,22.5,0.6509
258,-11.875,23,0.204
259,-11.875,23.5,-2.1678
260,-11.875,24,-2.1678
261,-11.875,24.5,-0.4918
262,-11.875,25,-0.204
263,-11.875,25.5,0.0676
264,-11.875,26,0.3443
265,-11.875,26.5,0.4169
266,-11.875,27,0.4169
267,-11.875,27.5,0.5696
268,-11.875,28,0.8286
269,-11.25,7,-0.6509
270,-11.25,7.5,-0.6509
271,-11.25,8,-0.7369
272,-11.25,8.5,-0.7369
273,-11.25,9,-0.7369
274,-11.25,9.5,-0.7369
275,-11.25,10,-0.7369
276,-11.25,10.5,-0.5696
277,-11.25,11,-0.4169
278,-11.25,11.5,-0.4169
279,-11.25,12,-0.4918
280,-11.25,12.5,-0.9279
281,-11.25,13,-1.4835
282,-11.25,13.5,-1.3052
283,-11.25,14,-1.3052
284,-11.25,14.5,-1.4835
285,-11.25,15,-2.1678
286,-11.25,15.5,-2.1678
287,-11.25,16,-1.7276
288,-11.25,16.5,-1.7276
289,-11.25,17,-1.4835
290,-11.25,17.5,-0.7369
291,-11.25,18,-0.3443
292,-11.25,18.5,-0.3443
293,-11.25,19,-0.5696
294,-11.25,19.5,-1.1609
295,-11.25,20,-1.1609
296,-11.25,20.5,-1.0374
297,-11.25,21,-0.8286
298,-11.25,21.5,0
299,-11.25,22,0.5696
300,-11.25,22.5,0.5696
301,-11.25,23,0
302,-11.25,23.5,-2.1678
303,-11.25,24,-2.1678
304,-11.25,24.5,-0.4169
305,-11.25,25,-0.204
306,-11.25,25.5,0.204
307,-11.25,26,0.3443
308,-11.25,26.5,0.4169
309,-11.25,27,0.4918
310,-11.25,27.5,0.6509
311,-11.25,28,0.7369
312,-11.25,28.5,0.7369
313,-10.625,6.5,-0.6509
314,-10.625,7,-0.6509
315,-10.625,7.5,-0.6509
316,-10.625,8,-0.7369
317,-10.625,8.5,-0.7369
318,-10.625,9,-0.7369
319,-10.625,9.5,-0.7369
320,-10.625,10,-0.8286
321,-10.625,10.5,-0.8286
322,-10.625,11,-0.5696
323,-10.625,11.5,-0.4918
324,-10.625,12,-0.5696
325,-10.625,12.5,-0.9279
326,-10.625,13,-1.7276
327,-10.625,13.5,-1.4835
328,-10.625,14,-1.4835
329,-10.625,14.5,-1.4835
330,-10.625,15,-2.1678
331,-10.625,15.5,-2.1678
332,-10.625,16,-1.7276
333,-10.625,16.5,-1.7276
334,-10.625,17,-1.4835
335,-10.625,17.5,-0.6509
336,-10.625,18,-0.1355
337,-10.625,18.5,0
338,-10.625,19,-0.4918
339,-10.625,19.5,-1.1609
340,-10.625,20,-1.1609
341,-10.625,20.5,-0.9279
342,-10.625,21,-0.8286
343,-10.625,21.5,-0.4169
344,-10.625,22,0.3443
345,-10.625,22.5,0.6509
346,-10.625,23,-0.1355
347,-10.625,23.5,-1.1609
348,-10.625,24,-0.9279
349,-10.625,24.5,-0.9279
350,-10.625,25,-0.1355
351,-10.625,25.5,0.1355
352,-10.625,26,0.2735
353,-10.625,26.5,0.4169
354,-10.625,27,0.3443
355,-10.625,27.5,0.3443
356,-10.625,28,0.7369
357,-10.625,28.5,0.8286
358,-10.625,29,1.0374
359,-10,6,-0.5696
360,-10,6.5,-0.5696
361,-10,7,-0.6509
362,-10,7.5,-0.7369
363,-10,8,-0.7369
364,-10,8.5,-0.7369
365,-10,9,-0.8286
366,-10,9.5,-0.9279
367,-10,10,-0.7369
368,-10,10.5,-0.6509
369,-10,11,-0.5696
370,-10,11.5,-0.7369
371,-10,12,-0.8286
372,-10,12.5,-1.1609
373,-10,13,-1.4835
374,-10,13.5,-1.3052
375,-10,14,-0.7369
376,-10,14.5,-0.9279
377,-10,15,-1.4835
378,-10,15.5,-1.7276
379,-10,16,-1.7276
380,-10,16.5,-1.7276
381,-10,17,-1.4835
382,-10,17.5,-0.5696
383,-10,18,-0.3443
384,-10,18.5,-0.3443
385,-10,19,-1.0374
386,-10,19.5,-1.1609
387,-10,20,-1.1609
388,-10,20.5,-1.1609
389,-10,21,-0.9279
390,-10,21.5,-0.4169
391,-10,22,-0.1355
392,-10,22.5,0.1355
393,-10,23,-0.4918
394,-10,23.5,-1.3052
395,-10,24,-1.0374
396,-10,24.5,-0.7369
397,-10,25,-0.3443
398,-10,25.5,0.1355
399,-10,26,0.1355
400,-10,26.5,0
401,-10,27,0.0676
402,-10,27.5,0.0676
403,-10,28,0.4918
404,-10,28.5,0.7369
405,-10,29,0.6509
406,-10,29.5,0.9279
407,-9.375,5.5,-0.6509
408,-9.375,6,-0.7369
409,-9.375,6.5,-0.6509
410,-9.375,7,-0.6509
411,-9.375,7.5,-0.7369
412,-9.375,8,-0.7369
413,-9.375,8.5,-0.9279
414,-9.375,9,-0.9279
415,-9.375,9.5,-0.9279
416,-9.375,10,-0.7369
417,-9.375,10.5,-0.4918
418,-9.375,11,-0.2735
419,-9.375,11.5,-0.6509
420,-9.375,12,-0.8286
421,-9.375,12.5,-1.0374
422,-9.375,13,-1.3052
423,-9.375,13.5,-1.0374
424,-9.375,14,-0.7369
425,-9.375,14.5,-0.7369
426,-9.375,15,-1.3052
427,-9.375,15.5,-1.7276
428,-9.375,16,-2.1678
429,-9.375,16.5,-1.7276
430,-9.375,17,-1.3052
431,-9.375,17.5,-0.7369
432,-9.375,18,-0.5696
433,-9.375,18.5,-0.7369
434,-9.375,19,-0.9279
435,-9.375,19.5,-0.9279
436,-9.375,20,-0.9279
437,-9.375,20.5,-0.6509
438,-9.375,21,-0.6509
439,-9.375,21.5,-0.3443
