OID,X,Y,Data
0,-16.875,14.5,0.7369
1,-16.875,15,0.4169
2,-16.875,21.5,0.5696
3,-16.875,22,0.0676
4,-16.25,11.5,0.2735
5,-16.25,12,0.4169
6,-16.25,12.5,0.4918
7,-16.25,13,0.5696
8,-16.25,13.5,0.4918
9,-16.25,14,0.1355
10,-16.25,14.5,-0.1355
11,-16.25,15,-0.3443
12,-16.25,15.5,-0.8286
13,-16.25,16,0.1355
14,-16.25,16.5,-0.2735
15,-16.25,17,-0.7369
16,-16.25,19.5,0.2735
17,-16.25,20.5,0.0676
18,-16.25,21,-0.9279
19,-16.25,21.5,-0.9279
20,-16.25,22,-1.1609
21,-16.25,22.5,-1.1609
22,-16.25,28.5,1.0374
23,-15.625,11.5,0.4918
24,-15.625,12,0.5696
25,-15.625,12.5,0.5696
26,-15.625,13,0.8286
27,-15.625,13.5,0.6509
28,-15.625,14,0.5696
29,-15.625,14.5,0.3443
30,-15.625,15,0
31,-15.625,15.5,0
32,-15.625,16,0
33,-15.625,16.5,0
34,-15.625,17,0.0676
35,-15.625,17.5,0.2735
36,-15.625,18,0.7369
37,-15.625,18.5,0.8286
38,-15.625,19,1.0374
39,-15.625,19.5,0.9279
40,-15.625,20,0.4918
41,-15.625,20.5,0.4169
42,-15.625,21,0.204
43,-15.625,21.5,0.0676
44,-15.625,22,-0.1355
45,-15.625,22.5,-0.9279
46,-15.625,23,-0.7369
47,-15.625,23.5,-0.9279
48,-15.625,24,-1.4835
49,-15.625,28,2.1678
50,-15,11,-0.1355
51,-15,11.5,0.2735
52,-15,12,0.5696
53,-15,12.5,0.5696
54,-15,13,0.6509
55,-15,13.5,0.5696
56,-15,14,0.4918
57,-15,14.5,0.4918
58,-15,15,0.3443
59,-15,15.5,0.204
60,-15,16,0.4918
61,-15,16.5,0.4918
62,-15,17,0.2735
63,-15,17.5,0.6509
64,-15,18,0.9279
65,-15,18.5,1.0374
66,-15,19,1.1609
67,-15,19.5,1.1609
68,-15,20,1.0374
69,-15,20.5,0.5696
70,-15,21,0.4169
71,-15,21.5,0.1355
72,-15,22,-0.1355
73,-15,22.5,-0.2735
74,-15,23,-0.4918
75,-15,23.5,-0.6509
76,-15,24,-1.1609
77,-15,24.5,-0.2735
78,-14.375,10.5,-0.4169
79,-14.375,11,-0.3443
80,-14.375,11.5,0
81,-14.375,12,0.3443
82,-14.375,12.5,0.4169
83,-14.375,13,0.6509
84,-14.375,13.5,0.6509
85,-14.375,14,0.6509
86,-14.375,14.5,0.6509
87,-14.375,15,0.6509
88,-14.375,15.5,0.6509
89,-14.375,16,0.7369
90,-14.375,16.5,0.7369
91,-14.375,17,0.7369
92,-14.375,17.5,1.0374
93,-14.375,18,1.1609
94,-14.375,18.5,1.1609
95,-14.375,19,1.3052
96,-14.375,19.5,1.3052
97,-14.375,20,1.3052
98,-14.375,20.5,0.7369
99,-14.375,21,0.4169
100,-14.375,21.5,0.204
101,-14.375,22,0
102,-14.375,22.5,-0.204
103,-14.375,23,-0.4918
104,-14.375,23.5,-0.7369
105,-14.375,24,-1.1609
106,-14.375,24.5,-0.3443
107,-14.375,25,-0.4169
108,-14.375,25.5,-0.4169
109,-14.375,26,-0.2735
110,-13.75,9.5,0
111,-13.75,10,-0.4169
112,-13.75,10.5,-0.5696
113,-13.75,11,-0.4169
114,-13.75,11.5,0
115,-13.75,12,0.2735
116,-13.75,12.5,0.2735
117,-13.75,13,0.5696
118,-13.75,13.5,0.8286
119,-13.75,14,1.3052
120,-13.75,14.5,0.8286
121,-13.75,15,0.8286
122,-13.75,15.5,0.4918
123,-13.75,16,0.7369
124,-13.75,16.5,0.7369
125,-13.75,17,0.7369
126,-13.75,17.5,0.9279
127,-13.75,18,1.0374
128,-13.75,18.5,1.3052
129,-13.75,19,1.1609
130,-13.75,19.5,1.3052
131,-13.75,20,1.3052
132,-13.75,20.5,0.8286
133,-13.75,21,0.4918
134,-13.75,21.5,0.4918
135,-13.75,22,0.2735
136,-13.75,22.5,0.1355
137,-13.75,23,-0.1355
138,-13.75,23.5,-0.4918
139,-13.75,24,-0.3443
140,-13.75,24.5,-0.4918
141,-13.75,25,-0.4918
142,-13.75,25.5,0.2735
143,-13.75,26,0.4918
144,-13.75,26.5,0.5696
145,-13.75,29,-0.0676
146,-13.125,8.5,-0.2735
147,-13.125,9,-0.3443
148,-13.125,9.5,-0.4169
149,-13.125,10,-0.5696
150,-13.125,10.5,-0.5696
151,-13.125,11,-0.4169
152,-13.125,11.5,-0.0676
153,-13.125,12,0.204
154,-13.125,12.5,0.4169
155,-13.125,13,0.5696
156,-13.125,13.5,0.9279
157,-13.125,14,1.0374
158,-13.125,14.5,1.1609
159,-13.125,15,0.7369
160,-13.125,15.5,0.6509
161,-13.125,16,0.6509
162,-13.125,16.5,0.4169
163,-13.125,17,0.7369
164,-13.125,17.5,1.1609
165,-13.125,18,1.0374
166,-13.125,18.5,1.1609
167,-13.125,19,1.3052
168,-13.125,19.5,1.3052
169,-13.125,20,1.4835
170,-13.125,20.5,1.3052
171,-13.125,21,0.6509
172,-13.125,21.5,0.6509
173,-13.125,22,0.2735
174,-13.125,22.5,0
175,-13.125,23,-0.3443
176,-13.125,23.5,-0.5696
177,-13.125,24,-0.5696
178,-13.125,24.5,-0.3443
179,-13.125,25,0.204
180,-13.125,25.5,0.7369
181,-13.125,26,0.6509
182,-13.125,26.5,0.3443
183,-13.125,27,0.8286
184,-13.125,27.5,1.7276
185,-12.5,7.5,-1.0374
186,-12.5,8,-0.9279
187,-12.5,8.5,-0.8286
188,-12.5,9,-0.8286
189,-12.5,9.5,-0.8286
190,-12.5,10,-0.9279
191,-12.5,10.5,-0.8286
192,-12.5,11,-0.7369
193,-12.5,11.5,-0.3443
194,-12.5,12,0.2735
195,-12.5,12.5,0.7369
196,-12.5,13,1.0374
197,-12.5,13.5,1.3052
198,-12.5,14,1.7276
199,-12.5,14.5,0.9279
200,-12.5,15,0.9279
201,-12.5,15.5,1.1609
202,-12.5,16,0.7369
203,-12.5,16.5,0.9279
204,-12.5,17,0.9279
205,-12.5,17.5,1.3052
206,-12.5,18,1.7276
207,-12.5,18.5,1.3052
208,-12.5,19,1.1609
209,-12.5,19.5,1.1609
210,-12.5,20,1.4835
211,-12.5,20.5,1.4835
212,-12.5,21,1.3052
213,-12.5,21.5,1.3052
214,-12.5,22,1.1609
215,-12.5,22.5,0.4169
216,-12.5,23,-0.0676
217,-12.5,23.5,-1.0374
218,-12.5,24,-0.8286
219,-12.5,24.5,-0.6509
220,-12.5,25,-0.4918
221,-12.5,25.5,-0.0676
222,-12.5,26,0
223,-12.5,26.5,0
224,-12.5,27,0.2735
225,-12.5,27.5,0.5696
226,-12.5,28,1.0374
227,-11.875,7.5,-1.3052
228,-11.875,8,-1.1609
229,-11.875,8.5,-1.1609
230,-11.875,9,-1.1609
231,-11.875,9.5,-1.1609
232,-11.875,10,-1.1609
233,-11.875,10.5,-0.9279
234,-11.875,11,-0.9279
235,-11.875,11.5,-0.2735
236,-11.875,12,0.3443
237,-11.875,12.5,0.7369
238,-11.875,13,1.1609
239,-11.875,13.5,1.3052
240,-11.875,14,1.7276
241,-11.875,14.5,1.4835
242,-11.875,15,1.3052
243,-11.875,15.5,1.4835
244,-11.875,16,1.4835
245,-11.875,16.5,1.1609
246,-11.875,17,1.3052
247,-11.875,17.5,2.1678
248,-11.875,18,2.1678
249,-11.875,18.5,2.1678
250,-11.875,19,1.3052
251,-11.875,19.5,1.3052
252,-11.875,20,1.4835
253,-11.875,20.5,1.7276
254,-11.875,21,1.3052
255,-11.875,21.5,1.4835
256,-11.875,22,1.3052
257,-11.875,22.5,0.9279
258,-11.875,23,0.0676
259,-11.875,23.5,-1.0374
260,-11.875,24,-0.4918
261,-11.875,24.5,-0.7369
262,-11.875,25,-0.9279
263,-11.875,25.5,-0.8286
264,-11.875,26,-0.6509
265,-11.875,26.5,-0.204
266,-11.875,27,0.0676
267,-11.875,27.5,0
268,-11.875,28,-0.4918
269,-11.25,7,-1.7276
270,-11.25,7.5,-1.3052
271,-11.25,8,-1.1609
272,-11.25,8.5,-1.1609
273,-11.25,9,-1.1609
274,-11.25,9.5,-1.1609
275,-11.25,10,-1.1609
276,-11.25,10.5,-0.9279
277,-11.25,11,-0.7369
278,-11.25,11.5,-0.2735
279,-11.25,12,0.4169
280,-11.25,12.5,0.7369
281,-11.25,13,1.1609
282,-11.25,13.5,1.3052
283,-11.25,14,1.7276
284,-11.25,14.5,1.3052
285,-11.25,15,1.3052
286,-11.25,15.5,1.4835
287,-11.25,16,1.4835
288,-11.25,16.5,1.3052
289,-11.25,17,1.7276
290,-11.25,17.5,2.1678
291,-11.25,18,2.1678
292,-11.25,18.5,2.1678
293,-11.25,19,1.3052
294,-11.25,19.5,1.4835
295,-11.25,20,1.4835
296,-11.25,20.5,1.4835
297,-11.25,21,1.4835
298,-11.25,21.5,1.4835
299,-11.25,22,1.4835
300,-11.25,22.5,0.7369
301,-11.25,23,0.2735
302,-11.25,23.5,-1.0374
303,-11.25,24,-0.6509
304,-11.25,24.5,-0.7369
305,-11.25,25,-0.9279
306,-11.25,25.5,-0.8286
307,-11.25,26,-0.5696
308,-11.25,26.5,-0.204
309,-11.25,27,0.0676
310,-11.25,27.5,-0.0676
311,-11.25,28,-0.5696
312,-11.25,28.5,-0.7369
313,-10.625,6.5,-2.1678
314,-10.625,7,-2.1678
315,-10.625,7.5,-1.4835
316,-10.625,8,-1.3052
317,-10.625,8.5,-1.3052
318,-10.625,9,-1.3052
319,-10.625,9.5,-1.3052
320,-10.625,10,-1.0374
321,-10.625,10.5,-0.8286
322,-10.625,11,-0.7369
323,-10.625,11.5,-0.2735
324,-10.625,12,0.204
325,-10.625,12.5,0.5696
326,-10.625,13,0.8286
327,-10.625,13.5,1.1609
328,-10.625,14,1.3052
329,-10.625,14.5,1.4835
330,-10.625,15,1.3052
331,-10.625,15.5,1.4835
332,-10.625,16,1.4835
333,-10.625,16.5,1.4835
334,-10.625,17,1.7276
335,-10.625,17.5,1.7276
336,-10.625,18,2.1678
337,-10.625,18.5,2.1678
338,-10.625,19,2.1678
339,-10.625,19.5,1.4835
340,-10.625,20,1.0374
341,-10.625,20.5,1.0374
342,-10.625,21,0.8286
343,-10.625,21.5,0.6509
344,-10.625,22,0.9279
345,-10.625,22.5,0.8286
346,-10.625,23,0.1355
347,-10.625,23.5,-0.6509
348,-10.625,24,-0.6509
349,-10.625,24.5,-1.0374
350,-10.625,25,-1.3052
351,-10.625,25.5,-1.0374
352,-10.625,26,-0.8286
353,-10.625,26.5,-0.2735
354,-10.625,27,0
355,-10.625,27.5,-0.0676
356,-10.625,28,-0.4918
357,-10.625,28.5,-0.2735
358,-10.625,29,-0.0676
359,-10,6,-1.7276
360,-10,6.5,-2.1678
361,-10,7,-2.1678
362,-10,7.5,-2.1678
363,-10,8,-1.7276
364,-10,8.5,-1.7276
365,-10,9,-1.7276
366,-10,9.5,-1.3052
367,-10,10,-0.9279
368,-10,10.5,-0.7369
369,-10,11,-0.5696
370,-10,11.5,-0.4169
371,-10,12,0
372,-10,12.5,0.3443
373,-10,13,0.9279
374,-10,13.5,1.0374
375,-10,14,1.3052
376,-10,14.5,1.4835
377,-10,15,1.1609
378,-10,15.5,1.1609
379,-10,16,1.3052
380,-10,16.5,1.3052
381,-10,17,1.3052
382,-10,17.5,1.4835
383,-10,18,1.4835
384,-10,18.5,1.4835
385,-10,19,1.4835
386,-10,19.5,1.3052
387,-10,20,0.9279
388,-10,20.5,0.5696
389,-10,21,0.2735
390,-10,21.5,0.0676
391,-10,22,0.4169
392,-10,22.5,0.6509
393,-10,23,0.204
394,-10,23.5,-0.5696
395,-10,24,-0.4918
396,-10,24.5,-0.5696
397,-10,25,-1.0374
398,-10,25.5,-0.9279
399,-10,26,-0.6509
400,-10,26.5,-0.204
401,-10,27,0
402,-10,27.5,0.1355
403,-10,28,-0.6509
404,-10,28.5,-0.1355
405,-10,29,0.204
406,-10,29.5,-0.0676
407,-9.375,5.5,-1.3052
408,-9.375,6,-1.3052
409,-9.375,6.5,-1.4835
410,-9.375,7,-1.4835
411,-9.375,7.5,-2.1678
412,-9.375,8,-2.1678
413,-9.375,8.5,-2.1678
414,-9.375,9,-2.1678
415,-9.375,9.5,-1.4835
416,-9.375,10,-0.9279
417,-9.375,10.5,-0.4169
418,-9.375,11,-0.2735
419,-9.375,11.5,-0.3443
420,-9.375,12,-0.2735
421,-9.375,12.5,0.3443
422,-9.375,13,0.9279
423,-9.375,13.5,1.0374
424,-9.375,14,1.4835
425,-9.375,14.5,1.4835
426,-9.375,15,1.3052
427,-9.375,15.5,0.9279
428,-9.375,16,0.8286
429,-9.375,16.5,0.8286
430,-9.375,17,0.6509
431,-9.375,17.5,1.0374
432,-9.375,18,1.0374
433,-9.375,18.5,1.3052
434,-9.375,19,1.1609
435,-9.375,19.5,1.3052
436,-9.375,20,0.9279
437,-9.375,20.5,0.7369
438,-9.375,21,0.4918
439,-9.375,21.5,0.2735
440,-9.375,22,0.3443
441,-9.375,22.5,0.7369
442,-9.375,23,0.7369
443,-9.375,23.5,0.2735
444,-9.375,24,-0.4169
445,-9.375,24.5,-0.3443
446,-9.375,25,-0.4918
447,-9.375,25.5,-0.7369
448,-9.375,26,-0.7369
449,-9.375,26.5,-0.4169
450,-9.375,27,0
451,-9.375,27.5,0
452,-9.375,28,-0.3443
453,-9.375,28.5,-0.1355
454,-9.375,29,0.204
455,-9.375,29.5,0.2735
456,-9.375,30,0.4918
457,-9.375,30.5,0.4169
458,-9.375,31,0.4169
459,-9.375,31.5,0.204
460,-9.375,32,0.4918
461,-9.375,39,-2.1678
462,-8.75,5,-1.0374
463,-8.75,5.5,-1.3052
464,-8.75,6,-1.3052
465,-8.75,6.5,-1.3052
466,-8.75,7,-1.4835
467,-8.75,7.5,-2.1678
468,-8.75,8,-2.1678
469,-8.75,8.5,-2.1678
