OID,X,Y,Data
0,-16.875,14.5,0.3443
1,-16.875,15,0.0676
2,-16.875,21.5,-0.2735
3,-16.875,22,-0.4169
4,-16.25,11.5,0.6509
5,-16.25,12,0.0676
6,-16.25,12.5,-0.4918
7,-16.25,13,-0.1355
8,-16.25,13.5,-0.204
9,-16.25,14,-0.4918
10,-16.25,14.5,-0.8286
11,-16.25,15,-0.9279
12,-16.25,15.5,-0.4169
13,-16.25,16,-0.3443
14,-16.25,16.5,-0.4169
15,-16.25,17,-0.6509
16,-16.25,19.5,-0.9279
17,-16.25,20.5,-1.0374
18,-16.25,21,-0.7369
19,-16.25,21.5,-0.7369
20,-16.25,22,-1.3052
21,-16.25,22.5,-0.9279
22,-16.25,28.5,-0.4918
23,-15.625,11.5,-0.1355
24,-15.625,12,-0.9279
25,-15.625,12.5,-0.9279
26,-15.625,13,-0.5696
27,-15.625,13.5,-0.5696
28,-15.625,14,-0.5696
29,-15.625,14.5,-0.9279
30,-15.625,15,-1.0374
31,-15.625,15.5,-0.6509
32,-15.625,16,-0.4169
33,-15.625,16.5,-0.3443
34,-15.625,17,-0.9279
35,-15.625,17.5,-0.8286
36,-15.625,18,-1.0374
37,-15.625,18.5,-1.3052
38,-15.625,19,-1.4835
39,-15.625,19.5,-1.4835
40,-15.625,20,-0.6509
41,-15.625,20.5,-0.4169
42,-15.625,21,-0.204
43,-15.625,21.5,-0.4918
44,-15.625,22,-1.3052
45,-15.625,22.5,-1.4835
46,-15.625,23,-1.4835
47,-15.625,23.5,-1.4835
48,-15.625,24,-1.3052
49,-15.625,28,-0.2735
50,-15,11,0.4169
51,-15,11.5,-0.204
52,-15,12,-0.9279
53,-15,12.5,-1.0374
54,-15,13,-0.9279
55,-15,13.5,-0.5696
56,-15,14,-0.6509
57,-15,14.5,-0.8286
58,-15,15,-0.7369
59,-15,15.5,-0.4918
60,-15,16,-0.5696
61,-15,16.5,-0.4169
62,-15,17,-0.5696
63,-15,17.5,-0.7369
64,-15,18,-0.9279
65,-15,18.5,-1.3052
66,-15,19,-1.4835
67,-15,19.5,-1.4835
68,-15,20,-0.6509
69,-15,20.5,-0.3443
70,-15,21,-0.2735
71,-15,21.5,-0.2735
72,-15,22,-1.1609
73,-15,22.5,-1.4835
74,-15,23,-1.4835
75,-15,23.5,-1.7276
76,-15,24,-1.7276
77,-15,24.5,-0.6509
78,-14.375,10.5,-1.3052
79,-14.375,11,0
80,-14.375,11.5,-0.2735
81,-14.375,12,-0.9279
82,-14.375,12.5,-1.0374
83,-14.375,13,-1.0374
84,-14.375,13.5,-0.6509
85,-14.375,14,-0.6509
86,-14.375,14.5,-0.8286
87,-14.375,15,-0.7369
88,-14.375,15.5,-0.4918
89,-14.375,16,-0.5696
90,-14.375,16.5,-0.4169
91,-14.375,17,-0.4169
92,-14.375,17.5,-0.6509
93,-14.375,18,-0.9279
94,-14.375,18.5,-1.3052
95,-14.375,19,-1.4835
96,-14.375,19.5,-1.3052
97,-14.375,20,-0.5696
98,-14.375,20.5,-0.3443
99,-14.375,21,-0.2735
100,-14.375,21.5,-0.3443
101,-14.375,22,-1.0374
102,-14.375,22.5,-1.3052
103,-14.375,23,-1.4835
104,-14.375,23.5,-1.7276
105,-14.375,24,-1.7276
106,-14.375,24.5,-1.0374
107,-14.375,25,-1.0374
108,-14.375,25.5,-1.1609
109,-14.375,26,-1.3052
110,-13.75,9.5,-0.5696
111,-13.75,10,-0.2735
112,-13.75,10.5,-0.204
113,-13.75,11,0.0676
114,-13.75,11.5,-0.204
115,-13.75,12,-0.7369
116,-13.75,12.5,-0.7369
117,-13.75,13,-0.7369
118,-13.75,13.5,-0.4169
119,-13.75,14,-0.5696
120,-13.75,14.5,-0.5696
121,-13.75,15,-0.8286
122,-13.75,15.5,-0.6509
123,-13.75,16,-0.5696
124,-13.75,16.5,-0.3443
125,-13.75,17,-0.3443
126,-13.75,17.5,-0.4918
127,-13.75,18,-0.5696
128,-13.75,18.5,-1.0374
129,-13.75,19,-1.0374
130,-13.75,19.5,-0.9279
131,-13.75,20,-0.4169
132,-13.75,20.5,-0.3443
133,-13.75,21,-0.1355
134,-13.75,21.5,-0.4169
