OID,X,Y,Data
0,-16.875,14.5,-0.5696
1,-16.875,15,0
2,-16.875,21.5,-1.1609
3,-16.875,22,-1.7276
4,-16.25,11.5,-1.1609
5,-16.25,12,-0.9279
6,-16.25,12.5,-0.7369
7,-16.25,13,-0.7369
8,-16.25,13.5,-0.7369
9,-16.25,14,-0.4918
10,-16.25,14.5,-0.3443
11,-16.25,15,-0.4918
12,-16.25,15.5,0.0676
13,-16.25,16,-0.0676
14,-16.25,16.5,-0.8286
15,-16.25,17,-1.3052
16,-16.25,19.5,-0.4918
17,-16.25,20.5,-0.8286
18,-16.25,21,-0.9279
19,-16.25,21.5,-0.9279
20,-16.25,22,-1.0374
21,-16.25,22.5,-1.0374
22,-16.25,28.5,2.1678
23,-15.625,11.5,-1.7276
24,-15.625,12,-0.9279
25,-15.625,12.5,-0.6509
26,-15.625,13,-0.4918
27,-15.625,13.5,-0.7369
28,-15.625,14,-0.1355
29,-15.625,14.5,0
30,-15.625,15,-0.7369
31,-15.625,15.5,-0.204
32,-15.625,16,-0.0676
33,-15.625,16.5,-0.7369
34,-15.625,17,-1.0374
35,-15.625,17.5,-1.0374
36,-15.625,18,-1.0374
37,-15.625,18.5,-1.0374
38,-15.625,19,-0.9279
39,-15.625,19.5,-0.9279
40,-15.625,20,-0.8286
41,-15.625,20.5,-0.9279
42,-15.625,21,-0.8286
43,-15.625,21.5,-0.7369
44,-15.625,22,-0.8286
45,-15.625,22.5,-1.0374
46,-15.625,23,-1.3052
47,-15.625,23.5,-0.9279
48,-15.625,24,-0.9279
49,-15.625,28,1.7276
50,-15,11,-2.1678
51,-15,11.5,-2.1678
52,-15,12,-1.3052
53,-15,12.5,-0.9279
54,-15,13,-0.5696
55,-15,13.5,-0.6509
56,-15,14,-0.204
57,-15,14.5,0
58,-15,15,-1.1609
59,-15,15.5,-0.6509
60,-15,16,-0.5696
61,-15,16.5,-0.8286
62,-15,17,-1.1609
63,-15,17.5,-1.1609
64,-15,18,-1.0374
65,-15,18.5,-1.1609
66,-15,19,-0.9279
67,-15,19.5,-0.7369
68,-15,20,-0.7369
69,-15,20.5,-0.9279
70,-15,21,-0.5696
71,-15,21.5,-0.6509
72,-15,22,-0.5696
73,-15,22.5,-0.4918
74,-15,23,-0.9279
75,-15,23.5,-0.8286
76,-15,24,-0.9279
77,-15,24.5,0.1355
78,-14.375,10.5,-2.1678
79,-14.375,11,-1.7276
80,-14.375,11.5,-1.7276
81,-14.375,12,-1.4835
82,-14.375,12.5,-0.8286
83,-14.375,13,-0.7369
84,-14.375,13.5,-0.6509
85,-14.375,14,-0.3443
86,-14.375,14.5,-0.0676
87,-14.375,15,-0.9279
88,-14.375,15.5,-0.8286
89,-14.375,16,-0.7369
90,-14.375,16.5,-0.8286
91,-14.375,17,-1.3052
92,-14.375,17.5,-1.1609
93,-14.375,18,-1.0374
94,-14.375,18.5,-1.1609
95,-14.375,19,-1.1609
96,-14.375,19.5,-0.8286
97,-14.375,20,-0.8286
98,-14.375,20.5,-1.0374
99,-14.375,21,-0.6509
100,-14.375,21.5,-0.4918
101,-14.375,22,-0.5696
102,-14.375,22.5,-0.6509
103,-14.375,23,-0.7369
104,-14.375,23.5,-0.7369
105,-14.375,24,-0.9279
106,-14.375,24.5,-0.0676
107,-14.375,25,0.204
108,-14.375,25.5,0.6509
109,-14.375,26,0.4918
110,-13.75,9.5,-1.3052
111,-13.75,10,-1.4835
112,-13.75,10.5,-1.3052
113,-13.75,11,-1.4835
114,-13.75,11.5,-1.4835
115,-13.75,12,-1.1609
116,-13.75,12.5,-0.8286
117,-13.75,13,-0.5696
118,-13.75,13.5,-0.9279
119,-13.75,14,-0.5696
120,-13.75,14.5,-0.4918
121,-13.75,15,-0.8286
122,-13.75,15.5,-1.0374
123,-13.75,16,-0.7369
124,-13.75,16.5,-1.1609
125,-13.75,17,-1.3052
126,-13.75,17.5,-1.1609
127,-13.75,18,-1.0374
128,-13.75,18.5,-1.0374
129,-13.75,19,-1.1609
130,-13.75,19.5,-1.3052
131,-13.75,20,-1.0374
132,-13.75,20.5,-1.0374
133,-13.75,21,-0.4918
134,-13.75,21.5,-0.4169
135,-13.75,22,-0.4918
136,-13.75,22.5,-0.8286
137,-13.75,23,-0.7369
138,-13.75,23.5,-0.4918
139,-13.75,24,-0.9279
140,-13.75,24.5,-0.6509
141,-13.75,25,-0.4169
142,-13.75,25.5,-0.3443
143,-13.75,26,-0.3443
144,-13.75,26.5,-0.1355
145,-13.75,29,-0.2735
146,-13.125,8.5,-1.3052
147,-13.125,9,-1.4835
148,-13.125,9.5,-1.4835
149,-13.125,10,-1.4835
150,-13.125,10.5,-1.3052
151,-13.125,11,-1.3052
152,-13.125,11.5,-1.4835
153,-13.125,12,-1.4835
154,-13.125,12.5,-1.0374
155,-13.125,13,-0.6509
156,-13.125,13.5,-0.7369
157,-13.125,14,-1.0374
158,-13.125,14.5,-0.6509
159,-13.125,15,-0.7369
160,-13.125,15.5,-0.9279
161,-13.125,16,-1.0374
162,-13.125,16.5,-1.3052
163,-13.125,17,-1.1609
164,-13.125,17.5,-1.1609
165,-13.125,18,-1.3052
166,-13.125,18.5,-1.4835
167,-13.125,19,-1.4835
168,-13.125,19.5,-1.4835
169,-13.125,20,-1.3052
170,-13.125,20.5,-1.7276
171,-13.125,21,-1.4835
172,-13.125,21.5,-1.4835
173,-13.125,22,-1.4835
