OID,X,Y,Data
0,-16.875,14.5,0.0676
1,-16.875,15,-0.204
2,-16.875,21.5,1.7276
3,-16.875,22,2.1678
4,-16.25,11.5,0.6509
5,-16.25,12,0.7369
6,-16.25,12.5,0.6509
7,-16.25,13,0.6509
8,-16.25,13.5,0.4169
9,-16.25,14,0.4169
10,-16.25,14.5,0.4169
11,-16.25,15,-0.204
12,-16.25,15.5,-0.4918
13,-16.25,16,-0.204
14,-16.25,16.5,-0.1355
15,-16.25,17,-0.0676
16,-16.25,19.5,0.6509
17,-16.25,20.5,2.1678
18,-16.25,21,2.1678
19,-16.25,21.5,2.1678
20,-16.25,22,2.1678
21,-16.25,22.5,2.1678
22,-16.25,28.5,1.4835
23,-15.625,11.5,0.5696
24,-15.625,12,0.8286
25,-15.625,12.5,1.0374
26,-15.625,13,0.9279
27,-15.625,13.5,0.9279
28,-15.625,14,0.6509
29,-15.625,14.5,0.5696
30,-15.625,15,-0.1355
31,-15.625,15.5,-0.2735
32,-15.625,16,-0.204
33,-15.625,16.5,-0.2735
34,-15.625,17,-0.204
35,-15.625,17.5,-0.4169
36,-15.625,18,-0.3443
37,-15.625,18.5,-0.2735
38,-15.625,19,0.0676
39,-15.625,19.5,0.3443
40,-15.625,20,0.5696
41,-15.625,20.5,1.3052
42,-15.625,21,1.4835
43,-15.625,21.5,2.1678
44,-15.625,22,2.1678
45,-15.625,22.5,1.7276
46,-15.625,23,1.1609
47,-15.625,23.5,1.3052
48,-15.625,24,1.3052
49,-15.625,28,0.204
50,-15,11,-0.0676
51,-15,11.5,0.1355
52,-15,12,0.2735
53,-15,12.5,0.9279
54,-15,13,0.9279
55,-15,13.5,0.9279
56,-15,14,0.7369
57,-15,14.5,0.4918
58,-15,15,0.204
59,-15,15.5,0.204
60,-15,16,0.1355
61,-15,16.5,0.2735
62,-15,17,0.1355
63,-15,17.5,-0.204
64,-15,18,-0.3443
65,-15,18.5,-0.4918
66,-15,19,-0.1355
67,-15,19.5,-0.0676
68,-15,20,0.204
69,-15,20.5,0.6509
70,-15,21,1.1609
71,-15,21.5,1.1609
72,-15,22,1.0374
73,-15,22.5,1.0374
74,-15,23,1.1609
75,-15,23.5,1.1609
76,-15,24,0.9279
77,-15,24.5,1.1609
78,-14.375,10.5,-0.3443
79,-14.375,11,-0.4918
80,-14.375,11.5,-0.4169
81,-14.375,12,-0.2735
82,-14.375,12.5,0.1355
83,-14.375,13,0.6509
84,-14.375,13.5,0.4169
85,-14.375,14,0.4918
86,-14.375,14.5,0.3443
87,-14.375,15,0.4169
88,-14.375,15.5,0.5696
89,-14.375,16,0.4918
90,-14.375,16.5,0.4918
91,-14.375,17,0.4918
92,-14.375,17.5,0.0676
93,-14.375,18,-0.3443
94,-14.375,18.5,-0.5696
95,-14.375,19,-0.4169
96,-14.375,19.5,-0.2735
97,-14.375,20,-0.1355
98,-14.375,20.5,0.204
99,-14.375,21,0.6509
100,-14.375,21.5,0.6509
101,-14.375,22,0.6509
102,-14.375,22.5,0.9279
103,-14.375,23,1.0374
104,-14.375,23.5,1.1609
105,-14.375,24,0.8286
106,-14.375,24.5,0.6509
107,-14.375,25,0.7369
108,-14.375,25.5,0.8286
109,-14.375,26,0.4918
110,-13.75,9.5,-0.3443
111,-13.75,10,-0.4169
112,-13.75,10.5,-0.6509
113,-13.75,11,-0.6509
114,-13.75,11.5,-0.6509
115,-13.75,12,-0.7369
116,-13.75,12.5,-0.3443
117,-13.75,13,0.2735
118,-13.75,13.5,0.4918
119,-13.75,14,0.4918
120,-13.75,14.5,0.3443
121,-13.75,15,0.5696
122,-13.75,15.5,0.8286
123,-13.75,16,0.6509
124,-13.75,16.5,0.6509
125,-13.75,17,0.6509
126,-13.75,17.5,0.2735
127,-13.75,18,-0.2735
128,-13.75,18.5,-0.5696
129,-13.75,19,-0.4918
130,-13.75,19.5,-0.3443
131,-13.75,20,-0.4169
132,-13.75,20.5,-0.3443
133,-13.75,21,-0.0676
134,-13.75,21.5,0.1355
135,-13.75,22,0.3443
136,-13.75,22.5,0.5696
137,-13.75,23,0.8286
138,-13.75,23.5,0.8286
139,-13.75,24,0.8286
140,-13.75,24.5,0.5696
141,-13.75,25,0.5696
142,-13.75,25.5,0.8286
143,-13.75,26,0.9279
144,-13.75,26.5,0.4169
145,-13.75,29,-0.4169
146,-13.125,8.5,-0.3443
147,-13.125,9,-0.4918
